Job ID,Job Title,Company,Location,Work Mode,Salary,Easy Apply,Status,LinkedIn URL,Source,Date Found
4338153593,Head of Artificial Intelligence (AI),The Portfolio Group,Manchester UK,Not specified,Excellent salary + bonus + car,Unknown,Active,https://www.linkedin.com/jobs/view/4338153593,Tavily Search,2025-11-11
4313392440,Head of AI,Atos,London UK,Not specified,Not listed,Unknown,Active,https://www.linkedin.com/jobs/view/4313392440,Tavily Search,2025-11-11
4333855528,Head of AI,Corndel,London UK,Not specified,Not listed,Unknown,Active,https://www.linkedin.com/jobs/view/4333855528,Tavily Search,2025-11-11
4337811594,Head of Tooling - AI Research,DeepL,London Area UK,Full-time,Not listed,Unknown,Active,https://uk.linkedin.com/jobs/view/4337811594,Tavily Search,2025-11-11
4311953385,Head of AI Opportunities - Jobshare,DCMS (Department for Culture Media and Sport),Manchester Area UK,Jobshare,Civil Service,Unknown,Active,https://uk.linkedin.com/jobs/view/4311953385,Tavily Search,2025-11-11
4258829590,Head of AI Policy,Ofgem,London Area UK,Not specified,Not listed,Unknown,Active,https://uk.linkedin.com/jobs/view/4258829590,Tavily Search,2025-11-11
4237459686,Director of AI Engineering,Faculty,London Area UK,Not specified,Not listed,Unknown,Active,https://uk.linkedin.com/jobs/view/4237459686,Tavily Search,2025-11-11
4237975221,Head of Quality Engineering and AI/ML Implementation,GE Vernova,UK,Not specified,"£80,000-£90,000",Unknown,Active,https://uk.linkedin.com/jobs/view/4237975221,Tavily Search,2025-11-11
4319294870,Deputy Director AI Engineering - Justice AI Unit,Ministry of Justice UK,London UK,Not specified,Civil Service SCS1,Unknown,Active,https://uk.linkedin.com/jobs/view/4319294870,Tavily Search,2025-11-11
4291781814,Head of AI Research – Applied Research,The Search Group,UK Hybrid,Not specified,Not listed,Unknown,Active,https://uk.linkedin.com/jobs/view/4291781814,Tavily Search,2025-11-11
4313457299,Deputy Director – AI Integration,DSIT (Dept for Science Innovation Technology),London UK,Not specified,Civil Service,Unknown,Active,https://uk.linkedin.com/jobs/view/4313457299,Tavily Search,2025-11-11
4335192079,Chief Artificial Intelligence Officer,PropRec Search,England UK,Not specified,Not listed,Unknown,Active,https://uk.linkedin.com/jobs/view/4335192079,Tavily Search,2025-11-11
4297528700,Head of AI Automation Application Strategy,Unknown,UK,Not specified,Not listed,Unknown,Active,https://www.linkedin.com/jobs/view/4297528700,LinkedIn Browser,2025-11-11
ESTIMATED01,Senior Leadership Roles (CTO VP Engineering Head of AI),MLabs,London UK,Not specified,"Up to £300,000",Unknown,Active,Search Result,Tavily Search,2025-11-11
ESTIMATED02,Head of Analytics & AI Enablement,Unknown,London UK,Not specified,Not listed,Unknown,Active,Search Result,Tavily Search,2025-11-11
ESTIMATED03,Head of AI Operations,Moonpig,London UK,Not specified,Not listed,Unknown,Active,Search Result,Tavily Search,2025-11-11
ESTIMATED04,"SVP Head of Data and AI Strategy",Sotheby's,London UK,Not specified,Not listed,Unknown,Active,Search Result,Tavily Search,2025-11-11
ESTIMATED05,Director/Senior Director of AI & Engineering,Alexander Chapman,London Area UK,Not specified,Not listed,Unknown,Active,Search Result,Tavily Search,2025-11-11
ESTIMATED06,Head of AI and Data Science,Pigment,Ledbury UK,Not specified,Not listed,Unknown,Active,Search Result,Tavily Search,2025-11-11
ESTIMATED07,"Head of Data Analytics and AI Automation",Buckinghamshire Council,UK,Not specified,Civil Service,Unknown,Active,Search Result,Tavily Search,2025-11-11
ESTIMATED08,Senior Director of Data Science & Insights,2K,London UK,Unknown,Active,Not listed,Unknown,Active,Search Result,Tavily Search,2025-11-11
ESTIMATED09,Head of AI School for Entrepreneurs,Nas Company,London UK,Not specified,Not listed,Unknown,Active,Search Result,Tavily Search,2025-11-11
ESTIMATED10,Head of AI & Automation Transformation - ED - Banking,Robert Walters,London UK,Not specified,Not listed,Unknown,Active,Search Result,Tavily Search,2025-11-11
ESTIMATED11,Senior Director of Product - AI Agents - AI SaaS,Stax - Deeptech Talent,London Hybrid,Not specified,Not listed,Unknown,Active,Search Result,Tavily Search,2025-11-11
ESTIMATED12,"Sr. Director/VP Data & AI Strategy",Alcumus,Bath/London UK,Not specified,Not listed,Unknown,Active,Search Result,Tavily Search,2025-11-11
ESTIMATED13,"Product Director AI/ML",Kantar,London UK,Not specified,Not listed,Unknown,Active,Search Result,Tavily Search,2025-11-11
ESTIMATED14,Remote Head of AI Development,Neologik,London Area UK,Remote,Not listed,Unknown,Active,Search Result,Tavily Search,2025-11-11
ESTIMATED15,Head of AI (R&D) - 100% remote,Tether.io,UK,Remote,Not listed,Unknown,Active,Search Result,Tavily Search,2025-11-11
ESTIMATED16,Head of Development - AI Intelligence Platform Remote UK,VoiceWorks,Caerphilly Wales UK,Remote,Not listed,Unknown,Active,Search Result,Tavily Search,2025-11-11
ESTIMATED17,Head/VP/Director of AI Partnerships,Humanoid,London Area UK,Not specified,Not listed,Unknown,Active,Search Result,Tavily Search,2025-11-11
ESTIMATED18,VP of AI Platform Engineering,Wenham Carter,England UK,Not specified,Not listed,Unknown,Active,Search Result,Tavily Search,2025-11-11
ESTIMATED19,Head of Data & AI,Unknown,UK,Not specified,Not listed,Unknown,Active,Search Result,Tavily Search,2025-11-11
PROFILE01,Head of AI,Microsoft,London UK,Hybrid,Not listed,N/A,Profile,https://uk.linkedin.com/in/lcassani,Profile - Luca Cassani,2025-11-11
PROFILE02,Head of AI,Jisc,Bristol UK,Not specified,Not listed,N/A,Profile,https://uk.linkedin.com/in/sueattewell,Profile - Sue Attewell,2025-11-11
